ID;DNI;Ideconomico;Ingresos;GastosMensuales;Balance
1;32953689;100;2979;1222;1757
2;32978283;101;2662;1305;1357
3;32979152;102;2847;1396;1451
4;32868748;103;1788;894;894
5;32736271;104;2455;1203;1252
6;32852122;105;2040;796;1244
7;32958356;106;2548;1300;1248
8;32956890;107;2097;1028;1069
9;32860171;108;1852;908;944
10;32989487;109;2754;1267;1487
11;32969099;110;1512;636;876
12;80224737;111;2274;1047;1227
13;41115441;112;2422;969;1453
14;25831470;113;1766;848;918
15;40181963;114;1851;796;1055
16;32813686;115;1898;779;1119
17;32987819;116;1938;873;1065
18;17554728;117;2091;941;1150
19;32979740;118;2653;1221;1432
20;32983142;119;2158;907;1251
21;32981898;120;1839;736;1103
22;32818810;121;2590;1244;1346
23;32847967;122;1836;772;1064
24;32915750;123;1845;923;922
25;32944990;124;2765;1328;1437
26;43185683;125;2991;1287;1704
27;42018111;126;2904;1365;1539
28;45415840;127;1640;738;902
29;40011464;128;1876;751;1125
30;32831690;129;1598;624;974
31;40627190;130;2061;928;1133
32;3124096;131;2217;1087;1130
33;32979648;132;2470;1013;1457
34;80314411;133;2088;1065;1023
35;40464132;134;2132;1024;1108
36;32945976;135;2292;917;1375
37;41618620;136;2686;1182;1504
38;32852139;137;1644;707;937
39;32965893;138;2913;1486;1427
40;17923862;139;1806;741;1065
41;25806297;140;2374;1093;1281
42;17881034;141;2886;1126;1760
43;32942094;142;2438;1171;1267
44;32954779;143;2740;1179;1561
45;32964195;144;2922;1461;1461
46;41542442;145;2695;1132;1563
47;31673615;146;2459;960;1499
48;32808026;147;2708;1057;1651
49;72418981;148;2201;991;1210
50;41579351;149;2720;1197;1523
51;80171747;150;1778;729;1049
52;8638845;151;2775;1388;1387
53;45215276;152;2262;1041;1221
54;18492323;153;2394;1150;1244
55;73422693;154;2174;957;1217
56;40331466;155;1969;965;1004
57;77490872;156;2810;1237;1573
58;32849940;157;1918;902;1016
59;32927065;158;2944;1414;1530
60;43407667;159;2912;1369;1543
61;32982761;160;2667;1201;1466
62;40446693;161;2409;1157;1252
63;32982993;162;2157;1101;1056
64;18023384;163;1616;744;872
65;48206364;164;1909;860;1049
66;112022;165;1726;708;1018
67;32820013;166;2378;1213;1165
68;70121204;167;2749;1238;1511
69;43451364;168;1808;742;1066
70;45623464;169;2363;1158;1205
71;32899688;170;2626;1077;1549
72;47659163;171;1954;782;1172
73;32949546;172;2703;1352;1351
74;32987914;173;2455;1007;1448
75;42222210;174;1557;670;887
76;44182440;175;2768;1108;1660
